"","V4","total"
"664","@mtgreenee",29650
"665","@murrymits",29629
"666","@amylstockwell",29606
"667","@SethAbramson",29482
"668","@MissLeandra",29442
"669","@badiucao",29434
"670","@jasminericegirl",29376
"671","@amandajalishaxo",29371
"672","@ArokaWrite",29343
"673","@whitneyhu",29341
"674","@davidschneider",29312
"675","@oneuvakind",29304
"676","@canadiankaymd",29256
"677","@manonelife",29230
"678","@Iamujer",29227
"679","@praisegodbarbon",29205
"680","@OriginalDWoods",29170
"681","@GRIERBOLUDO",29169
"682","@youdoingtoomuch",29106
"683","@jnguyen",29094
"684","@ihucash",29072
"685","@4realronnie",29033
"686","@mumblesj",28975
"687","@Edomex",28933
"688","@Nikhil09121",28874
"689","@jjkmaryy",28870
"690","@ffewtk",28840
"691","@saintfadumo",28822
"692","@statueofGIBerty",28813
"693","@scorpiofourth",28751
"694","@gavinnewsom",28663
"695","@wanderwaii",28644
"696","@jdaque2",28596
"697","@realrhathayaya",28535
"698","@cl0uds9",28529
"699","@Nayellimarte",28518
"700","@eyestealmemes",28463
"701","@anildash",28434
"702","@InigoAbellar",28403
"703","@skhaterboi",28316
"704","@afcd0n",28273
"705","@smtownglobal",28210
"706","@DilanTheVillain",28184
"707","@krysose",28181
"708","@falzthebahdguy",28153
"709","@chrisilluminati",28133
"710","@LazyGinger",28132
"711","@omojuwa",28131
"712","@jessicawon57",28101
"713","@SteveMartinToGo",28095
"714","@trisquire",28084
"715","@raphaelviicente",28069
"716","@dhyphenmac",28046
"717","@stevenspohn",28021
"718","@dariusthedonn",27995
"719","@gwallamagic",27927
"720","@thekaranmenon",27908
"721","@blvckcurrency",27817
"722","@cloverlm",27817
"723","@taylorinchief",27814
"724","@pongnawat",27739
"725","@serenaxm",27710
"726","@Philzadamz",27701
"727","@baejennism",27610
"728","@belldelagua",27579
"729","@nisipisa",27556
"730","@zenjournalist",27502
"731","@poshgracie",27489
"732","@blobyblo",27457
"733","@liya8th",27453
"734","@melindaperle",27354
"735","@iamajak",27352
"736","@biggeasy123",27286
"737","@autismdrmom",27257
"738","@istyleireland",27254
"739","@bfriedmandc",27197
"740","@BNODesk",27144
"741","@JustSumGuy176",27137
"742","@SkyNews",27113
"743","@AfterOrc",27107
"744","@yarotrof",27088
"745","@peterbakernyt",27023
"746","@caithuls",27007
"747","@AprilDRyan",26996
"748","@senkamalaharris",26953
"749","@alicewilder",26829
"750","@Mellazimen",26824
